,Unnamed: 0,first_name,last_name,nick_name,height,weight,reach,stance,wins,losses,draws,fighter_url,full_name,SLpM,Str_Acc,SApM,Str_Dep,TD_Avg,TD_Acc,TD_Def,Sub_Avg
0,0,Tom,Aaron,,--,155 lbs.,--,,5,3,0,http://ufcstats.com/fighter-details/93fe7332d16c6ad9,Tom Aaron,0.00,0%,0.00,0%,0.00,0%,0%,0.0
1,1,Danny,Abbadi,The Assassin,"5' 11""",155 lbs.,--,Orthodox,4,6,0,http://ufcstats.com/fighter-details/15df64c02b6b0fde,Danny Abbadi,3.29,38%,4.41,57%,0.00,0%,77%,0.0
2,2,David,Abbott,Tank,"6' 0""",265 lbs.,--,Switch,10,14,0,http://ufcstats.com/fighter-details/b361180739bed4b0,David Abbott,1.35,30%,3.55,38%,1.07,33%,66%,0.0
3,3,Shamil,Abdurakhimov,Abrek,"6' 3""",235 lbs.,"76.0""",Orthodox,20,4,0,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,Shamil Abdurakhimov,2.64,44%,2.36,60%,1.34,24%,66%,0.2
4,4,Hiroyuki,Abe,Abe Ani,"5' 6""",145 lbs.,--,Orthodox,8,14,3,http://ufcstats.com/fighter-details/c0ed7b208197e8de,Hiroyuki Abe,1.71,36%,3.11,63%,0.00,0%,33%,0.0
5,5,Daichi,Abe,,"5' 11""",170 lbs.,"71.0""",Orthodox,6,2,0,http://ufcstats.com/fighter-details/5140122c3eecd307,Daichi Abe,3.80,33%,4.49,56%,0.33,50%,0%,0.0
6,6,Papy,Abedi,Makambo,"5' 11""",185 lbs.,"74.0""",Southpaw,9,3,0,http://ufcstats.com/fighter-details/c9f6385af6df66d7,Papy Abedi,2.80,55%,3.15,48%,3.47,57%,50%,1.3
7,7,Ricardo,Abreu,Demente,"5' 11""",185 lbs.,"73.0""",Orthodox,5,3,0,http://ufcstats.com/fighter-details/aa6e591c2a2cdecd,Ricardo Abreu,3.79,31%,3.98,68%,2.13,42%,100%,0.7
8,8,Klidson,Abreu,White Bear,"6' 0""",205 lbs.,"74.0""",Orthodox,15,3,0,http://ufcstats.com/fighter-details/7279654c7674cd24,Klidson Abreu,1.97,39%,1.93,59%,0.50,12%,75%,0.0
9,9,Daniel,Acacio,,"5' 8""",180 lbs.,--,Orthodox,26,12,0,http://ufcstats.com/fighter-details/1c5879330d42255f,Daniel Acacio,3.52,36%,2.85,62%,0.33,20%,81%,0.0
10,10,Scott,Adams,,"6' 0""",225 lbs.,--,Southpaw,8,1,0,http://ufcstats.com/fighter-details/2620f3eb21c79614,Scott Adams,0.00,0%,0.00,0%,0.00,0%,0%,0.0
11,11,Juan,Adams,The Kraken,"6' 5""",265 lbs.,"80.0""",Orthodox,5,2,0,http://ufcstats.com/fighter-details/83b00f7597e5ac83,Juan Adams,7.32,55%,4.00,34%,0.97,66%,57%,0.0
12,12,Anthony,Adams,Sugafoot,"6' 0""",185 lbs.,"77.0""",Orthodox,7,1,0,http://ufcstats.com/fighter-details/a77633a989013265,Anthony Adams,3.40,47%,5.60,44%,0.00,0%,0%,0.0
13,13,Israel,Adesanya,The Last Stylebender,"6' 4""",185 lbs.,"80.0""",Switch,17,0,0,http://ufcstats.com/fighter-details/1338e2c7480bdf9e,Israel Adesanya,4.44,51%,2.49,65%,0.00,0%,85%,0.5
14,14,Sam,Adkins,The Experience,"6' 3""",225 lbs.,--,Orthodox,7,20,2,http://ufcstats.com/fighter-details/0e9869d712e81f8f,Sam Adkins,0.00,0%,0.00,0%,0.00,0%,0%,0.0
15,15,Nick,Agallar,,"5' 8""",155 lbs.,--,Orthodox,24,6,0,http://ufcstats.com/fighter-details/ebc5af72ad5a28cb,Nick Agallar,0.69,11%,4.56,42%,0.00,0%,0%,0.0
